title,year,genres,budget,box_office,vote_count,runtime,production_companies,release_month,poster_url,original_language,roi,success_label,imdb_rating,profit
Surajmukhi,1950,Drama,0,0,0,0,Madhuban's,12,https://image.tmdb.org/t/p/w500/lndoqGVTo57k1WS5kk0Yy8kV0Jd.jpg,hi,0.0,Flop,5.0,0
Nirala,1950,"Drama, Romance, Thriller",0,0,1,107,,6,https://image.tmdb.org/t/p/w500/2pgYDXDgMO9TmOeVILLV6P4Q8yb.jpg,hi,0.0,Flop,5.301029995663981,0
Hamara Ghar,1950,Unknown,0,0,0,134,Hindustan Chitra,10,https://image.tmdb.org/t/p/w500/cisnhBXPhP0onBztfrK4uMZFTii.jpg,hi,0.0,Flop,5.0,0
Anmol Ratan,1950,Unknown,0,0,0,115,,10,https://image.tmdb.org/t/p/w500/iLY6VL0j7WOEB1q06fMsj2ulJyT.jpg,hi,0.0,Flop,5.0,0
Biwi,1950,Unknown,0,0,0,112,,12,https://image.tmdb.org/t/p/w500/hRYxEVy7MmeBDxCc0LiebAtFlkU.jpg,hi,0.0,Flop,5.0,0
Sargam,1950,"Family, Drama",0,110000,0,135,"Filmistan Studios, Sasadhar Mukherjee Productions",12,https://image.tmdb.org/t/p/w500/ySgTqKxUE3LSQpJoYkxH4P7rc4h.jpg,hi,0.0,Flop,5.0,110000
Banwra,1950,Drama,0,0,0,148,Shree Durga Productions,12,https://image.tmdb.org/t/p/w500/ksMLcWkg4LZR9qNPxAukJaS9WGN.jpg,hi,0.0,Flop,5.0,0
Sangram,1950,Drama,0,0,1,139,,12,https://image.tmdb.org/t/p/w500/5s3pcVziuhwTvGiwQ65MfofaMu3.jpg,hi,0.0,Flop,5.301029995663981,0
Samadhi,1950,"Drama, History",0,0,0,156,Filmistan Studios,12,https://image.tmdb.org/t/p/w500/dLSJSSYva0IiMJIb8GObWDLuJIN.jpg,hi,0.0,Flop,5.0,0
Bijli,1950,Drama,0,0,0,0,Hindustan Chitra,9,https://image.tmdb.org/t/p/w500/9JFYM7TCyohbEMUVvJfF1PtkJ7h.jpg,hi,0.0,Flop,5.0,0
Babul,1950,Drama,0,0,0,142,"Famous Cine Laboratories & Studios, Sunny Art Productions",12,https://image.tmdb.org/t/p/w500/vAeOLlXuMPmvvv1csqcYclP7BKW.jpg,hi,0.0,Flop,5.0,0
Sheesh Mahal,1950,Drama,0,0,0,144,Minerva Movietone,12,https://image.tmdb.org/t/p/w500/ukCfvZbnHMOWrPbI0Z88R4PR3PW.jpg,hi,0.0,Flop,5.0,0
Hanste Ansu,1950,Drama,0,0,0,0,,12,https://image.tmdb.org/t/p/w500/460JSIHVKXwK2nVxoKMpaneADZI.jpg,hi,0.0,Flop,5.0,0
Arzoo,1950,"Drama, Romance",0,0,1,130,,6,https://image.tmdb.org/t/p/w500/vZkMqkNc7vBtq3dFqATl2CiFSgc.jpg,hi,0.0,Flop,5.301029995663981,0
Pardes,1950,Drama,0,0,0,128,All India Pictures,1,https://image.tmdb.org/t/p/w500/eVXNHjbaPveppoW8js9bx0n6l8D.jpg,hi,0.0,Flop,5.0,0
Pyar,1950,Drama,0,0,0,0,Sunrise Pictures,8,https://image.tmdb.org/t/p/w500/lKkKlreJ9MqfprcllkeWJEMNxhq.jpg,hi,0.0,Flop,5.0,0
Jogan,1950,"Romance, Drama",0,0,7,116,Shree Ranjit Movitone Co,2,https://image.tmdb.org/t/p/w500/8IVhJBteB6wptJrmnvWyCo6qGco.jpg,hi,0.0,Flop,5.903089986991944,0
Babla,1951,Unknown,0,0,0,114,Angel Digital Private Limited,12,https://image.tmdb.org/t/p/w500/gvC6cOoQujmfDHxyCiiP9GZ8XzQ.jpg,hi,0.0,Flop,5.0,0
Saagar,1951,Unknown,0,0,0,0,,3,https://image.tmdb.org/t/p/w500/5JwPpN0MPa64Hlnt6Kk6njdkTqB.jpg,hi,0.0,Flop,5.0,0
Nadaan,1951,Romance,0,0,0,119,,2,https://image.tmdb.org/t/p/w500/3qVMO6NRywJfLrOd5dFpcQbcPxG.jpg,hi,0.0,Flop,5.0,0
Badal,1951,Romance,0,0,1,137,Varma Films,9,https://image.tmdb.org/t/p/w500/fj4N0FE2Tb3VywZjQUww9yiI1W0.jpg,hi,0.0,Flop,5.301029995663981,0
Nazneen,1951,Unknown,0,0,0,126,All India Pictures,8,https://image.tmdb.org/t/p/w500/tH39woSWpLYgKgRaQpDq9Z4i9XA.jpg,hi,0.0,Flop,5.0,0
Naujawan,1951,Drama,0,0,0,131,,1,https://image.tmdb.org/t/p/w500/9vq8iLOnwIcXS2GI0fdKoDrqrQq.jpg,hi,0.0,Flop,5.0,0
Awaara,1951,"Drama, Music, Romance",0,0,63,168,"All India Film Corporation, R.K. Films",12,https://image.tmdb.org/t/p/w500/njaaQO1JZRtypogw5IPLtTlOSLI.jpg,hi,0.0,Flop,6.8061799739838875,0
Malhar,1951,"Drama, Family",0,0,0,120,Darling Films,10,https://image.tmdb.org/t/p/w500/7OIul8ZMfnNj24IaW6FN9mecqeT.jpg,hi,0.0,Flop,5.0,0
Do Sitare,1951,Unknown,0,0,0,132,Famous Pictures,6,https://image.tmdb.org/t/p/w500/ztKQivRS63Kwokaw31DH3IuFeQm.jpg,hi,0.0,Flop,5.0,0
Lav Kush,1951,Unknown,0,0,0,0,,1,https://image.tmdb.org/t/p/w500/xiOxMV7achKzn6J0zojbzIxkkGB.jpg,hi,0.0,Flop,5.0,0
